Name,Position,Country_from,Country_to,Transfer fee
Stanley Nsoki,Centre-Back,Belgium,Germany,12
Matteo Guendouzi,Central Midfield,England,France,11
Neal Maupay,Centre-Forward,England,England,11
Jordan Veretout,Central Midfield,Italy,France,11
Nick Pope,Goalkeeper,England,England,11
Mathías Olivera,Left-Back,Spain,Italy,11
Momo Cho,Centre-Forward,France,Spain,11
Marcus Tavernier,Central Midfield,England,England,11
Julio Enciso,Attacking Midfield,Paraguay,England,11
Jørgen Strand Larsen,Centre-Forward,Netherlands,Spain,11
