Name,Position,Country_from,Country_to,Transfer fee
Josko Gvardiol,Centre-Back,Croatia,Germany,18.8
Takehiro Tomiyasu,Right-Back,Italy,England,18.6
Angeliño,Left Midfield,England,Germany,18
Pedrinho,Right Winger,Portugal,Ukraine,18
Matheus Pereira,Attacking Midfield,England,Saudi Arabia,18
Marc Cucurella,Left-Back,Spain,England,18
Adam Armstrong,Centre-Forward,England,England,17.7
Jannik Vestergaard,Centre-Back,England,England,17.6
Albert Sambi Lokonga,Central Midfield,Belgium,England,17.5
Joachim Andersen,Centre-Back,France,England,17.5
Eldor Shomurodov,Centre-Forward,Italy,Italy,17.5
Loïc Badé,Centre-Back,France,France,17
Roman Yaremchuk,Centre-Forward,Belgium,Portugal,17
Myron Boadu,Centre-Forward,Netherlands,Monaco,17
Pape Sarr,Defensive Midfield,France,England,16.9
Krépin Diatta,Right Winger,Belgium,Monaco,16.7
Odsonne Edouard,Centre-Forward,Scotland,England,16.3
Paulinho,Centre-Forward,Portugal,Portugal,16
Danilo Pereira,Defensive Midfield,Portugal,France,16
Hamed Junior Traorè,Attacking Midfield,Italy,Italy,16
Zinho Vanheusden,Centre-Back,Belgium,Italy,16
Cristian Romero,Centre-Back,Italy,Italy,16
Rafa Mir,Centre-Forward,England,Spain,16
Ilaix Moriba,Central Midfield,Spain,Germany,16
Morgan Sanson,Central Midfield,France,England,15.8
Kristoffer Ajer,Centre-Back,Scotland,England,15.7
Benjamin Henrichs,Right-Back,Monaco,Germany,15
Gregor Kobel,Goalkeeper,Germany,Germany,15
Juan Foyth,Centre-Back,England,Spain,15
Pepê,Left Midfield,Brazil,Portugal,15
Mohamed Simakan,Centre-Back,France,Germany,15
Junior Firpo,Left-Back,Spain,England,15
Calvin Stengs,Right Winger,Netherlands,France,15
Kamaldeen Sulemana,Left Winger,Denmark,France,15
Maxwel Cornet,Left Winger,France,England,15
Marcel Sabitzer,Central Midfield,Germany,Germany,15
Cristiano Ronaldo,Centre-Forward,Italy,England,15
Gaëtan Laborde,Centre-Forward,France,France,15
Musa Barrow,Left Winger,Italy,Italy,14.5
Mike Maignan,Goalkeeper,France,Italy,14.3
Pedro,Centre-Forward,Italy,Brazil,14
Nathan Collins,Centre-Back,England,England,14
Emerson Royal,Right-Back,Spain,Spain,14
Harry Wilson,Right Winger,England,England,14
Baptiste Santamaria,Defensive Midfield,Germany,France,14
Sebastiaan Bornauw,Centre-Back,Germany,Germany,13.5
Dennis Man,Right Winger,Romania,Italy,13
Toby Alderweireld,Centre-Back,England,Qatar,13
André Matias,Left-Back,Brazil,Italy,13
Jack Harrison,Left Winger,England,England,12.8
Denzel Dumfries,Central Midfield,Netherlands,Italy,12.5
Romain Correia,Centre-Back,Portugal,Portugal,12.01
Joakim Maehle,Right-Back,Belgium,Italy,12
Marlon,Centre-Back,Italy,Ukraine,12
Romain Perraud,Left-Back,France,England,12
Boulaye Dia,Centre-Forward,France,Spain,12
Claudinho,Attacking Midfield,Brazil,Russia,12
Luca Waldschmidt,Centre-Forward,Portugal,Germany,12
Lovro Majer,Attacking Midfield,Croatia,France,12
Mohamed Daramy,Left Winger,Denmark,Netherlands,12
Teun Koopmeiners,Defensive Midfield,Netherlands,Italy,12
Brenner,Centre-Forward,Brazil,United States,11.82
Rui Patrício,Goalkeeper,England,Italy,11.5
Rayan Aït-Nouri,Left-Back,France,England,11.1
Jeremie Frimpong,Right-Back,Scotland,Germany,11
Milot Rashica,Right Winger,Germany,England,11
Leonardo Balerdi,Centre-Back,Germany,France,11
Jean Lucas,Central Midfield,France,Monaco,11
Christos Tzolis,Left Winger,Greece,England,11
Gonzalo Montiel,Right-Back,Argentina,Spain,11
Rodrigo Fernandes,Defensive Midfield,Portugal,Portugal,11
Luiz Araújo,Right Winger,France,United States,10.91
Lautaro Valenti,Centre-Back,Argentina,Italy,10.5
Igor Coronado,Attacking Midfield,United Arab Emirates,Saudi Arabia,10.15
Carlos Fernández,Centre-Forward,Spain,Spain,10
Manolo Portanova,Central Midfield,Italy,Italy,10
Razvan Marin,Central Midfield,Netherlands,Italy,10
Lassina Traoré,Centre-Forward,Netherlands,Ukraine,10
Imran Louza,Central Midfield,France,England,10
Frank Onyeka,Central Midfield,Denmark,England,10
Yoane Wissa,Left Winger,France,England,10
Andy Delort,Centre-Forward,France,France,10
Kayky,Right Winger,Brazil,England,10
Hannes Wolf,Attacking Midfield,Germany,Germany,9.5
Josh Sargent,Centre-Forward,Germany,England,9.5
Ben Gibson,Centre-Back,England,England,9.3
Michael Olise,Attacking Midfield,England,England,9.3
Kouadio Koné,Central Midfield,France,Germany,9
Roger Ibañez,Centre-Back,Italy,Italy,9
Davide Zappacosta,Right-Back,England,Italy,9
Kamal Sowah,Right Winger,England,Belgium,9
Filip Stevanovic,Left Winger,Serbia,England,8.5
Quincy Promes,Left Winger,Netherlands,Russia,8.5
Jean-Clair Todibo,Centre-Back,Spain,France,8.5
Marcos André,Centre-Forward,Spain,Spain,8.5
Andreas Cornelius,Centre-Forward,Italy,Italy,8.4
Elia Petrelli,Centre-Forward,Italy,Italy,8
Marley Aké,Left Winger,France,Italy,8
Ante Budimir,Centre-Forward,Spain,Spain,8
Talisca,Attacking Midfield,China,Saudi Arabia,8
Suat Serdar,Central Midfield,Germany,Germany,8
Mert Cetin,Centre-Back,Italy,Italy,8
Aster Vranckx,Central Midfield,Belgium,Germany,8
Nuno Tavares,Left-Back,Portugal,England,8
José Sá,Goalkeeper,Greece,England,8
Lukas Nmecha,Centre-Forward,England,Germany,8
Matteo Lovato,Centre-Back,Italy,Italy,8
Rodrigo Muniz,Centre-Forward,Brazil,England,8
Yacine Adli,Attacking Midfield,France,Italy,8
James Rodríguez,Attacking Midfield,England,Qatar,8
Maximilian Philipp,Centre-Forward,Russia,Germany,7.5
Dimitrios Giannoulis,Left-Back,Greece,England,7.5
Alban Lafont,Goalkeeper,Italy,France,7.5
Denis Makarov,Central Midfield,Russia,Russia,7.5
Ivan Ilic,Central Midfield,England,Italy,7.5
Lyanco,Centre-Back,Italy,England,7.5
Amine Adli,Right Winger,France,Germany,7.5
Talles Magno,Left Winger,Brazil,United States,7.27
Marco Richter,Right Winger,Germany,Germany,7.1
Irfan Can Kahveci,Central Midfield,Turkey,Turkey,7
Antonio Sanabria,Centre-Forward,Spain,Italy,7
Niklas Dorsch,Defensive Midfield,Belgium,Germany,7
Jesper Lindstrøm,Attacking Midfield,Denmark,Germany,7
Mitchel Bakker,Left-Back,France,Germany,7
Amadou Onana,Defensive Midfield,Germany,France,7
