Name,Position,Country_from,Country_to,Transfer fee
Jack Grealish,Left Winger,England,England,117.5
Romelu Lukaku,Centre-Forward,Italy,England,113
Jadon Sancho,Left Winger,Germany,England,85
Achraf Hakimi,Right-Back,Italy,France,66.5
Ben White,Centre-Back,England,England,58.5
Dayot Upamecano,Centre-Back,Germany,Germany,42.5
Ibrahima Konaté,Centre-Back,Germany,England,40
Raphaël Varane,Centre-Back,Spain,England,40
Tammy Abraham,Centre-Forward,England,Italy,40
Emiliano Buendía,Right Winger,England,England,38.4
Rodrigo de Paul,Central Midfield,Italy,Spain,35
Martin Ødegaard,Attacking Midfield,Spain,England,35
Kurt Zouma,Centre-Back,England,England,35
Leon Bailey,Left Winger,Germany,England,32
Eduardo Camavinga,Central Midfield,France,Spain,31
Patson Daka,Centre-Forward,Austria,England,30
Donyell Malen,Centre-Forward,Netherlands,Germany,30
Nikola Vlasic,Attacking Midfield,Russia,England,30
Danny Ings,Centre-Forward,England,England,29.42
Joe Willock,Central Midfield,England,England,29.4
Daniel James,Left Winger,England,England,29.1
Fikayo Tomori,Centre-Back,England,Italy,28.8
Aaron Ramsdale,Goalkeeper,England,England,28
Marash Kumbulla,Centre-Back,Italy,Italy,26.5
Matheus Cunha,Centre-Forward,Germany,Spain,26
Bryan Gil,Left Winger,Spain,England,25
Emerson Royal,Right-Back,Spain,England,25
Nicholas Gonzalez,Left Winger,Germany,Italy,23.5
Arnaut Danjuma,Left Winger,England,Spain,23.5
Marc Guehi,Centre-Back,England,England,23.34
Nicolò Rovella,Defensive Midfield,Italy,Italy,23.3
Saïd Benrahma,Left Winger,England,England,23.1
André Silva,Centre-Forward,Germany,Germany,23
Enock Mwepu,Central Midfield,Austria,England,23
Odilon Kossounou,Centre-Back,Belgium,Germany,23
Sébastien Haller,Centre-Forward,England,Netherlands,22.5
Dominik Szoboszlai,Left Winger,Austria,Germany,22
Amad Diallo,Right Winger,Italy,England,21.3
Matteo Politano,Right Winger,Italy,Italy,21
Weston McKennie,Central Midfield,Germany,Italy,20.5
Gerson,Central Midfield,Brazil,France,20
Juan Musso,Goalkeeper,Italy,Italy,20
Boubakary Soumaré,Defensive Midfield,France,England,20
John Córdoba,Centre-Forward,Germany,Russia,20
